kon,koff,t,complex
0.5,0.05,0.0,0.0
0.5,0.05,2.0,0.47985931525707465
0.5,0.05,4.0,0.6186034918909817
0.5,0.05,6.0,0.6756580564663986
0.5,0.05,8.0,0.7023803848466275
0.5,0.05,10.0,0.7156547906187896
0.5,0.05,12.0,0.7224402689670041
0.5,0.05,14.0,0.7259624837714646
0.5,0.05,16.0,0.7278055423414258
0.5,0.05,18.0,0.7287682979883701
0.5,0.05,20.0,0.7292799272139328
0.5,0.05,22.0,0.7295439472239705
0.5,0.05,24.0,0.7296880222980073
0.5,0.05,26.0,0.7297603837304091
0.5,0.05,28.0,0.7297995161753612
0.5,0.05,30.0,0.7298219371408087
0.5,0.05,32.0,0.7298309149422568
0.5,0.05,34.0,0.7298365181551393
0.5,0.05,36.0,0.7298411369047547
0.5,0.05,38.0,0.7298425433543714
0.5,0.05,40.0,0.7298418862702414
0.5,0.05,42.0,0.7298426775414242
0.5,0.05,44.0,0.7298442754025595
0.5,0.05,46.0,0.7298448375854943
0.5,0.05,48.0,0.7298439979476814
0.5,0.05,50.0,0.729842642077123
0.5,0.05,52.0,0.7298427362896283
0.5,0.05,54.0,0.729843488536041
0.5,0.05,56.0,0.7298437653964658
0.5,0.05,58.0,0.7298435781060932
0.5,0.05,60.0,0.7298434546084759
0.5,0.1,0.0,0.0
0.5,0.1,2.0,0.4610343450236626
0.5,0.1,4.0,0.5771216011689407
0.5,0.1,6.0,0.6169466346976699
0.5,0.1,8.0,0.631984844589974
0.5,0.1,10.0,0.6378646247434051
0.5,0.1,12.0,0.6401936451308964
0.5,0.1,14.0,0.6411243274888819
0.5,0.1,16.0,0.6414971088843129
0.5,0.1,18.0,0.6416414342267531
0.5,0.1,20.0,0.6417044470490858
0.5,0.1,22.0,0.6417246906890685
0.5,0.1,24.0,0.6417369680289248
0.5,0.1,26.0,0.6417397743019763
0.5,0.1,28.0,0.6417404471608216
0.5,0.1,30.0,0.6417432394578987
0.5,0.1,32.0,0.641742726294551
0.5,0.1,34.0,0.6417407811456081
0.5,0.1,36.0,0.6417440080944621
0.5,0.1,38.0,0.6417473406557398
0.5,0.1,40.0,0.6417448008596969
0.5,0.1,42.0,0.6417386881497682
0.5,0.1,44.0,0.6417405462146434
0.5,0.1,46.0,0.6417641958333861
0.5,0.1,48.0,0.6417741682200623
0.5,0.1,50.0,0.6417528836383743
0.5,0.1,52.0,0.6417172761779065
0.5,0.1,54.0,0.6417175012572411
0.5,0.1,56.0,0.6417422155248732
0.5,0.1,58.0,0.6417409306772005
0.5,0.1,60.0,0.6417326236438126
0.5,0.15,0.0,0.0
0.5,0.15,2.0,0.44340841819062793
0.5,0.15,4.0,0.5409711321381753
0.5,0.15,6.0,0.5692161215544812
0.5,0.15,8.0,0.5779998155783904
0.5,0.15,10.0,0.5807925305368471
0.5,0.15,12.0,0.5816882500266322
0.5,0.15,14.0,0.5819747830511282
0.5,0.15,16.0,0.5820633034580045
0.5,0.15,18.0,0.5820965100464229
0.5,0.15,20.0,0.5821031285975717
0.5,0.15,22.0,0.5821089830064317
0.5,0.15,24.0,0.5821073669825847
0.5,0.15,26.0,0.5821099576746005
0.5,0.15,28.0,0.5821113378180716
0.5,0.15,30.0,0.5821073088832496
0.5,0.15,32.0,0.5821109435988795
0.5,0.15,34.0,0.582122817277838
0.5,0.15,36.0,0.5821156122030209
0.5,0.15,38.0,0.5820965260430412
0.5,0.15,40.0,0.5821212698871442
0.5,0.15,42.0,0.5821894026256264
0.5,0.15,44.0,0.5821497901611163
0.5,0.15,46.0,0.5820381126775446
0.5,0.15,48.0,0.5821161414960134
0.5,0.15,50.0,0.5823432217068673
0.5,0.15,52.0,0.5821690413909424
0.5,0.15,54.0,0.58186333337279
0.5,0.15,56.0,0.5821091866725527
0.5,0.15,58.0,0.5821348975618974
0.5,0.15,60.0,0.5819999511538086
0.5,0.2,0.0,0.0
